,OPID,WoPC,Average_NO2,current_no2_y
713,58996184754,1091,32.49466769618428,29.95391218
714,58999652352,1091,32.49466769618428,39.58402823
716,59027182181,1091,32.49466769618428,17.37524863
717,59027183545,1091,32.49466769618428,36.75203623
718,59027184940,1091,32.49466769618428,37.50542595
719,59030599838,1091,32.49466769618428,27.91805100666667
722,59061615958,1091,32.49466769618428,17.41418423
723,59151185405,1091,32.49466769618428,36.051584995
725,59151193000,1091,32.49466769618428,31.241939000000002
727,59151193403,1091,32.49466769618428,21.69744699
728,59213190520,1091,32.49466769618428,41.791683075
730,59213193000,1091,32.49466769618428,39.93427892
731,59244209213,1091,32.49466769618428,29.44105373
732,59244212251,1091,32.49466769618428,40.54260152
733,59244222419,1091,32.49466769618428,24.93407654
734,59247803353,1091,32.49466769618428,25.17353076
735,59247804252,1091,32.49466769618428,23.84864527
736,58968588895,1031,25.86250533393037,30.364337
740,59027184475,1031,25.86250533393037,21.4470794
741,59027187978,1031,25.86250533393037,22.13871342
742,59089189683,1031,25.86250533393037,28.56570678
744,59213185715,1031,25.86250533393037,26.388809594999998
746,59275220962,1031,25.86250533393037,29.56202163
747,58968589236,1073,29.930542799038985,25.0170266
748,58999650058,1073,29.930542799038985,29.532575365
750,59030601016,1073,29.930542799038985,35.1021926775
754,59089190706,1073,29.930542799038985,26.106342150000003
756,59120188164,1073,29.930542799038985,30.25317984666667
759,59151184196,1073,29.930542799038985,18.54805051
760,59154700061,1073,29.930542799038985,27.817762289999997
762,59185640510,1073,29.930542799038985,24.2302170175
766,59213187699,1073,29.930542799038985,33.97979858
767,59244215506,1073,29.930542799038985,33.75259592
768,59244224403,1073,29.930542799038985,35.456494695
770,58968591902,1092,25.320076722498214,26.89291149
771,59092605480,1092,25.320076722498214,35.14254786
773,59120183576,1092,25.320076722498214,39.420516705
775,59123644199,1092,25.320076722498214,26.289878938000005
780,59244211941,1092,25.320076722498214,24.739255075000003
782,59275214917,1092,25.320076722498214,38.58909064
784,58996182243,1093,23.065123853035118,31.3990334
786,59120183607,1093,23.065123853035118,32.13848719333333
789,59151188505,1093,23.065123853035118,22.453899855
791,59213187017,1093,23.065123853035118,22.88391102
792,59213194271,1093,23.065123853035118,31.702150850000002
794,59213196627,1093,23.065123853035118,20.752349643333332
